Commodity,Date,Unit,Minimum,Maximum,Average
Lemon,1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),1/28/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Papaya(Indian),1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Guava,1/28/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,1/28/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Kinnow,1/28/2024,KG,Rs 80.00,Rs 100.00,Rs 90.00
Strawberry,1/28/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,1/28/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Sarifa,1/28/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Avocado,1/28/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Amla,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Ginger,1/28/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,1/28/2024,KG,Rs 480.00,Rs 500.00,Rs 490.00
Chilli Green,1/28/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Bullet),1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Machhe),1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Capsicum,1/28/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Garlic Green,1/28/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Coriander Green,1/28/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Garlic Dry Chinese,1/28/2024,KG,Rs 250.00,Rs 260.00,Rs 256.67
Garlic Dry Nepali,1/28/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,1/28/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,1/28/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),1/28/2024,KG,Rs 350.00,Rs 370.00,Rs 360.00
Fish Fresh(Bachuwa),1/28/2024,KG,Rs 260.00,Rs 270.00,Rs 265.00
Fish Fresh(Chhadi),1/28/2024,KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),1/28/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,1/28/2024,Kg,Rs 120.00,Rs 130.00,Rs 126.67
Tomato Big(Nepali),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),1/27/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),1/27/2024,KG,Rs 18.00,Rs 25.00,Rs 20.75
Tomato Small(Tunnel),1/27/2024,KG,Rs 18.00,Rs 28.00,Rs 23.67
Tomato Small(Terai),1/27/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Potato Red,1/27/2024,KG,Rs 30.00,Rs 33.00,Rs 31.60
Potato Red(Indian),1/27/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Potato White,1/27/2024,KG,Rs 22.00,Rs 23.00,Rs 22.50
Onion Dry (Indian),1/27/2024,KG,Rs 75.00,Rs 80.00,Rs 77.00
Carrot(Local),1/27/2024,KG,Rs 35.00,Rs 40.00,Rs 38.00
Carrot(Terai),1/27/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Local),1/27/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage(Terai),1/27/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,1/27/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Terai,1/27/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Raddish Red,1/27/2024,KG,Rs 15.00,Rs 20.00,Rs 17.50
Raddish White(Local),1/27/2024,KG,Rs 10.00,Rs 15.00,Rs 12.50
Raddish White(Hybrid),1/27/2024,KG,Rs 15.00,Rs 20.00,Rs 17.50
Brinjal Long,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brinjal Round,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,1/27/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
French Bean(Local),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Rajma),1/27/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Sword Bean,1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Bitter Gourd,1/27/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Bottle Gourd,1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Smooth Gourd,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pumpkin,1/27/2024,KG,Rs 45.00,Rs 55.00,Rs 50.00
Squash(Long),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Squash(Round),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Turnip,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,1/27/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Sweet Potato,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,1/27/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Arum,1/27/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,1/27/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brd Leaf Mustard,1/27/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,1/27/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,1/27/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,1/27/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,1/27/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,1/27/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Bakula,1/27/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Yam,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Mushroom(Kanya),1/27/2024,KG,Rs 150.00,Rs 180.00,Rs 164.00
Mushroom(Button),1/27/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,1/27/2024,KG,"Rs 1,800.00","Rs 2,000.00","Rs 1,900.00"
Brocauli,1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sugarbeet,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,1/27/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Red Cabbbage,1/27/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Lettuce,1/27/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,1/27/2024,KG,Rs 100.00,Rs 120.00,Rs 113.33
Parseley,1/27/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,1/27/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mint,1/27/2024,KG,Rs 320.00,Rs 350.00,Rs 335.00
Turnip A,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/27/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/27/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/27/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,1/27/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/27/2024,KG,Rs 300.00,Rs 330.00,Rs 315.00
Banana,1/27/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/27/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Pomegranate,1/27/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),1/27/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),1/27/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Orange(Nepali),1/27/2024,KG,Rs 120.00,Rs 140.00,Rs 128.00
Water Melon(Green),1/27/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/27/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mandarin,1/27/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1/27/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),1/27/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Cucumber(Hybrid),1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Jack Fruit,1/27/2024,KG,Rs 110.00,Rs 130.00,Rs 120.00
Lemon,1/27/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),1/27/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),1/27/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Papaya(Indian),1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Guava,1/27/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Kinnow,1/27/2024,KG,Rs 80.00,Rs 100.00,Rs 90.00
Strawberry,1/27/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,1/27/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Sarifa,1/27/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Avocado,1/27/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Amla,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Ginger,1/27/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,1/27/2024,KG,Rs 480.00,Rs 500.00,Rs 490.00
Chilli Green,1/27/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Bullet),1/27/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),1/27/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Capsicum,1/27/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Garlic Green,1/27/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Coriander Green,1/27/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Garlic Dry Chinese,1/27/2024,KG,Rs 250.00,Rs 260.00,Rs 256.67
Garlic Dry Nepali,1/27/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,1/27/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,1/27/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),1/27/2024,KG,Rs 350.00,Rs 370.00,Rs 360.00
Fish Fresh(Bachuwa),1/27/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Fish Fresh(Chhadi),1/27/2024,KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),1/27/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,1/27/2024,Kg,Rs 120.00,Rs 130.00,Rs 125.00
Tomato Big(Nepali),1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),1/26/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Tomato Small(Tunnel),1/26/2024,KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Terai),1/26/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,1/26/2024,KG,Rs 30.00,Rs 35.00,Rs 32.50
Potato Red(Indian),1/26/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),1/26/2024,KG,Rs 75.00,Rs 80.00,Rs 78.00
Carrot(Local),1/26/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Carrot(Terai),1/26/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Local),1/26/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Cabbage(Terai),1/26/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,1/26/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Terai,1/26/2024,KG,Rs 35.00,Rs 40.00,Rs 38.33
Raddish Red,1/26/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Raddish White(Local),1/26/2024,KG,Rs 10.00,Rs 15.00,Rs 12.50
Raddish White(Hybrid),1/26/2024,KG,Rs 15.00,Rs 20.00,Rs 17.50
Brinjal Long,1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Brinjal Round,1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Green Peas,1/26/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
French Bean(Local),1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Rajma),1/26/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
Sword Bean,1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Bitter Gourd,1/26/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Bottle Gourd,1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Terai),1/26/2024,KG,Rs 350.00,Rs 360.00,Rs 355.00
Smooth Gourd,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pumpkin,1/26/2024,KG,Rs 45.00,Rs 55.00,Rs 50.00
Squash(Long),1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Round),1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,1/26/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
Sweet Potato,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,1/26/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Arum,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Christophine,1/26/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brd Leaf Mustard,1/26/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,1/26/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bakula,1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Yam,1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Mushroom(Kanya),1/26/2024,KG,Rs 140.00,Rs 160.00,Rs 150.00
Mushroom(Button),1/26/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,1/26/2024,KG,"Rs 1,800.00","Rs 2,000.00","Rs 1,900.00"
Brocauli,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.00
Sugarbeet,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,1/26/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Red Cabbbage,1/26/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Lettuce,1/26/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,1/26/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,1/26/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mint,1/26/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Turnip A,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/26/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/26/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Gundruk,1/26/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/26/2024,KG,Rs 300.00,Rs 330.00,Rs 315.00
Banana,1/26/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/26/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Pomegranate,1/26/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Grapes(Green),1/26/2024,KG,Rs 150.00,Rs 200.00,Rs 175.00
Grapes(Black),1/26/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Orange(Nepali),1/26/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Water Melon(Green),1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/26/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,1/26/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1/26/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),1/26/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Cucumber(Hybrid),1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Jack Fruit,1/26/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Lemon,1/26/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),1/26/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),1/26/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Papaya(Indian),1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Guava,1/26/2024,KG,Rs 100.00,Rs 120.00,Rs 113.33
Mombin,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Kinnow,1/26/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Strawberry,1/26/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,1/26/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Sarifa,1/26/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Avocado,1/26/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Amla,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Ginger,1/26/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,1/26/2024,KG,Rs 480.00,Rs 500.00,Rs 490.00
Chilli Green,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Bullet),1/26/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Machhe),1/26/2024,KG,Rs 60.00,Rs 80.00,Rs 70.00
Capsicum,1/26/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,1/26/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Coriander Green,1/26/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Garlic Dry Chinese,1/26/2024,KG,Rs 250.00,Rs 260.00,Rs 256.00
Garlic Dry Nepali,1/26/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,1/26/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,1/26/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Fish Fresh(Rahu),1/26/2024,KG,Rs 350.00,Rs 360.00,Rs 355.00
Fish Fresh(Bachuwa),1/26/2024,KG,Rs 260.00,Rs 270.00,Rs 265.00
Fish Fresh(Chhadi),1/26/2024,KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),1/26/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,1/26/2024,Kg,Rs 120.00,Rs 130.00,Rs 125.00
Tomato Big(Nepali),1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),1/25/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Tomato Small(Tunnel),1/25/2024,KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Indian),1/25/2024,KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Terai),1/25/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,1/25/2024,KG,Rs 30.00,Rs 33.00,Rs 31.50
Potato Red(Indian),1/25/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),1/25/2024,KG,Rs 75.00,Rs 80.00,Rs 77.50
Carrot(Local),1/25/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Carrot(Terai),1/25/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Local),1/25/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage,1/25/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,1/25/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Terai,1/25/2024,KG,Rs 40.00,Rs 45.00,Rs 42.50
Raddish Red,1/25/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Raddish White(Local),1/25/2024,KG,Rs 10.00,Rs 15.00,Rs 12.50
Raddish White(Hybrid),1/25/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Brinjal Long,1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Brinjal Round,1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Green Peas,1/25/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
French Bean(Local),1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
French Bean(Rajma),1/25/2024,KG,Rs 110.00,Rs 130.00,Rs 120.00
Sword Bean,1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Bitter Gourd,1/25/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
Bottle Gourd,1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pointed Gourd(Terai),1/25/2024,KG,Rs 350.00,Rs 360.00,Rs 355.00
Smooth Gourd,1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pumpkin,1/25/2024,KG,Rs 40.00,Rs 50.00,Rs 44.00
Squash(Long),1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Round),1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Turnip,1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,1/25/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Sweet Potato,1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,1/25/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Arum,1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Christophine,1/25/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brd Leaf Mustard,1/25/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,1/25/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bakula,1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Yam,1/25/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mushroom(Kanya),1/25/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mushroom(Button),1/25/2024,KG,Rs 330.00,Rs 370.00,Rs 350.00
Asparagus,1/25/2024,KG,"Rs 1,800.00","Rs 2,000.00","Rs 1,900.00"
Brocauli,1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sugarbeet,1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,1/25/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Red Cabbbage,1/25/2024,KG,Rs 60.00,Rs 80.00,Rs 70.00
Lettuce,1/25/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,1/25/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,1/25/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mint,1/25/2024,KG,Rs 320.00,Rs 350.00,Rs 335.00
Turnip A,1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/25/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/25/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Gundruk,1/25/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/25/2024,KG,Rs 300.00,Rs 330.00,Rs 315.00
Banana,1/25/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/25/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Pomegranate,1/25/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),1/25/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),1/25/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Orange(Nepali),1/25/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Water Melon(Green),1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/25/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,1/25/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1/25/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),1/25/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Hybrid),1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 66.00
Lemon,1/25/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),1/25/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),1/25/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Papaya(Indian),1/25/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Guava,1/25/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,1/25/2024,KG,Rs 80.00,Rs 90.00,Rs 86.00
Sugarcane,1/25/2024,Per Piece,Rs 90.00,Rs 100.00,Rs 95.00
Kinnow,1/25/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Strawberry,1/25/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,1/25/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
