Commodity,Date,Unit,Minimum,Maximum,Average
Pumpkin,6/9/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),6/9/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),6/9/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,6/9/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Sweet Potato,6/9/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,6/9/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brd Leaf Mustard,6/9/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Mustard Leaf,6/9/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Onion Green,6/9/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Kanya),6/9/2024,KG,Rs 160.00,Rs 200.00,Rs 180.00
Mushroom(Button),6/9/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Asparagus,6/9/2024,KG,Rs 250.00,Rs 280.00,Rs 266.67
Neuro,6/9/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sugarbeet,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Drumstick,6/9/2024,KG,Rs 150.00,Rs 200.00,Rs 176.67
Red Cabbbage,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,6/9/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Celery,6/9/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Parseley,6/9/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Fennel Leaf,6/9/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mint,6/9/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Turnip A,6/9/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,6/9/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Bamboo Shoot,6/9/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Tofu,6/9/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
